City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Sao Filipe,CV,14.8961,-24.4956,70.83,73,86,13.51,overcast clouds
147,Buta,CD,2.7858,24.73,73.54,40,0,1.28,clear sky
148,Ulu-Telyak,RU,54.9086,56.9669,4.53,93,100,12.1,snow
149,Fortuna,US,40.5982,-124.1573,50.0,87,90,7.34,overcast clouds
150,Shimoda,JP,34.6667,138.95,49.14,57,0,10.13,clear sky
151,Payakumbuh,ID,-0.2202,100.6308,69.3,87,97,1.28,overcast clouds
152,Kavieng,PG,-2.5744,150.7967,81.63,71,53,2.68,broken clouds
153,Sakaiminato,JP,35.55,133.2333,39.2,100,20,4.61,few clouds
154,Cabedelo,BR,-6.9811,-34.8339,87.8,58,20,10.36,few clouds
155,Fallon,US,39.4735,-118.7774,44.01,52,20,6.91,few clouds
156,Hithadhoo,MV,-0.6,73.0833,81.45,78,15,14.94,few clouds
157,Port Elizabeth,ZA,-33.918,25.5701,69.8,94,90,10.36,overcast clouds
158,Nikolskoye,RU,59.7035,30.7861,10.4,79,75,15.66,snow
159,Rawson,AR,-43.3002,-65.1023,64.58,58,100,25.19,overcast clouds
160,Pula,HR,44.8683,13.8481,55.4,82,90,3.44,overcast clouds
161,Sawakin,SD,19.1059,37.3321,73.15,56,0,6.85,clear sky
162,Ambanja,MG,-13.6833,48.45,76.06,88,100,2.42,light rain
163,Ola,RU,59.5833,151.2833,7.75,88,100,10.27,overcast clouds
164,Kismayo,SO,-0.3582,42.5454,77.0,83,67,15.61,broken clouds
165,Kantunilkin,MX,21.0917,-87.45,86.0,66,40,17.27,scattered clouds
166,Abu Dhabi,AE,24.4667,54.3667,73.4,56,0,8.05,clear sky
167,Podborany,CZ,50.2294,13.4119,28.99,100,100,8.99,light snow
168,Ribeira Grande,PT,38.5167,-28.7,60.8,88,75,23.02,broken clouds
169,Roald,NO,62.5833,6.1333,23.0,63,0,4.61,clear sky
170,Baringo,KE,0.4667,35.9667,78.24,43,94,1.95,overcast clouds
171,Sainte-Suzanne,RE,-20.9061,55.6089,78.8,78,75,6.91,moderate rain
172,Honiara,SB,-9.4333,159.95,77.14,86,100,4.32,light rain
173,Nanakuli,US,21.3906,-158.1547,69.8,60,90,4.61,overcast clouds
174,Tasiilaq,GL,65.6145,-37.6368,32.0,80,75,43.73,light rain
175,Sorland,NO,67.667,12.6934,34.84,82,59,25.41,broken clouds
176,Bacolod,PH,10.6667,122.95,76.95,83,100,11.3,overcast clouds
177,Sobolevo,RU,54.4299,31.8996,-0.08,93,84,8.88,broken clouds
178,Sitka,US,57.0531,-135.33,35.6,80,75,9.22,light snow
179,Torbay,CA,47.6666,-52.7314,35.6,87,90,11.5,light rain
180,Ponta Do Sol,PT,32.6667,-17.1,57.99,77,40,9.22,scattered clouds
181,Goderich,CA,43.7501,-81.7165,17.6,73,100,23.02,overcast clouds
182,Zyryanka,RU,65.75,150.85,-20.0,83,100,8.9,overcast clouds
183,Sibolga,ID,1.7427,98.7792,76.8,79,85,4.14,overcast clouds
184,Karpogory,RU,64.0019,44.4451,-3.98,90,100,10.04,overcast clouds
185,Severo-Kurilsk,RU,50.6789,156.125,20.66,94,100,15.37,light snow
186,San Juan,AR,-31.5375,-68.5364,94.96,19,0,6.78,clear sky
187,Bikaner,IN,28.0167,73.3,58.39,33,0,7.14,clear sky
188,Broome,US,42.2506,-75.833,32.0,37,40,18.41,scattered clouds
189,Prundeni,RO,44.7333,24.2667,39.2,100,90,11.5,drizzle
190,Lebu,CL,-37.6167,-73.65,62.64,79,63,7.07,broken clouds
191,Arkhangelsk,RU,64.5401,40.5433,6.8,85,40,6.71,scattered clouds
192,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,78,75,5.75,moderate rain
193,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,90,19.57,snow
194,Barabinsk,RU,55.3571,78.357,31.03,98,100,16.62,overcast clouds
195,Dicabisagan,PH,17.0818,122.4157,75.36,88,77,4.47,broken clouds
196,Sioux Lookout,CA,50.1001,-91.917,-14.8,64,90,11.5,snow
197,Kaitangata,NZ,-46.2817,169.8464,52.27,89,4,3.11,clear sky
198,Yichang,CN,30.7144,111.2847,48.0,78,26,1.77,scattered clouds
199,Seoul,KR,37.5683,126.9778,44.6,93,75,1.14,fog
200,Narsaq,GL,60.9167,-46.05,33.8,27,1,18.41,clear sky
201,Am Timan,TD,11.0297,20.2827,74.44,19,23,6.58,few clouds
202,Carnarvon,AU,-24.8667,113.6333,80.6,100,1,12.66,clear sky
203,Bambous Virieux,MU,-20.3428,57.7575,80.01,83,40,6.91,scattered clouds
204,Kaspiyskiy,RU,45.3929,47.3707,32.47,93,100,12.93,overcast clouds
205,Riviere-Au-Renard,CA,48.9957,-64.3971,32.0,93,90,9.22,light snow
206,Provideniya,RU,64.3833,-173.3,0.45,91,95,5.77,overcast clouds
207,Longyearbyen,SJ,78.2186,15.6401,23.0,74,75,2.3,broken clouds
208,Denizli,TR,37.8402,29.0698,42.8,81,0,6.91,clear sky
209,Budaun,IN,28.05,79.1167,53.78,60,0,8.5,clear sky
