City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
330,Burnie,AU,61.0,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
331,Ulladulla,AU,66.0,scattered clouds,-35.35,150.4667,Sandpiper Motel
334,Port Augusta,AU,64.4,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
336,Ambovombe,MG,77.61,light rain,-25.1667,46.0833,RELAHARA
337,Flinders,AU,64.99,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
338,Lugovoy,KZ,39.15,light rain,42.9472,72.7644,Ж.Д Вокзал Луговая
339,Reinosa,ES,46.99,overcast clouds,42.9996,-4.138,Hotel Vejo
340,Lianzhou,CN,62.13,clear sky,24.7811,112.3825,Qingcheng Tourism Industry
341,Santa Marta,CO,89.01,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
342,Marrakesh,MA,50.0,broken clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
343,Ambulu,ID,76.73,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
344,Los Llanos De Aridane,ES,64.4,few clouds,28.6585,-17.9182,Valle Aridane
345,Parrita,CR,84.2,clear sky,9.5201,-84.3225,Beso del Viento
346,Palestine,PS,61.0,scattered clouds,31.9216,35.2033,Grand Park Hotel
347,Qaqortoq,GL,33.8,clear sky,60.7167,-46.0333,Hotel Qaqortoq
348,Jihlava,CZ,30.99,overcast clouds,49.3961,15.5912,Grandhotel Garni
350,Alyangula,AU,78.8,light rain,-13.8483,136.4192,Groote Eylandt Lodge
351,Shenjiamen,CN,49.75,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
352,Bartlesville,US,39.2,overcast clouds,36.7473,-95.9808,Hilton Garden Inn Bartlesville
353,Komsomolskiy,UZ,41.0,mist,40.4272,71.7189,Ikathouse
355,Namwala,ZM,69.66,overcast clouds,-15.7504,26.4384,Corner Point Lodge
356,Saraza,PH,77.65,overcast clouds,8.7356,117.78,NOREEN GALLEGO
357,Gamboma,CG,78.48,overcast clouds,-1.8764,15.8644,Residence N'Keni
358,Grand Gaube,MU,80.01,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
359,Oudtshoorn,ZA,66.2,scattered clouds,-33.5907,22.2014,Earthbound Guest House
