City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Geraldton,AU,2021-02-05 23:57:46,-28.7667,114.6,60.8,88,90,28.77
102,Portel,BR,2021-02-05 23:57:46,-1.9356,-50.8211,79.88,72,84,5.5
103,Mildura,AU,2021-02-05 23:57:46,-34.2,142.15,69.01,68,75,12.66
104,Mahebourg,MU,2021-02-05 23:57:46,-20.4081,57.7,77.0,83,75,3.44
105,Hambantota,LK,2021-02-05 23:57:46,6.1241,81.1185,75.6,80,94,10.71
106,Vedelago,IT,2021-02-05 23:57:47,45.6872,12.0164,50.0,87,90,1.63
107,Biak,ID,2021-02-05 23:57:47,-0.9131,122.8766,78.84,75,100,3.18
108,Alencon,FR,2021-02-05 23:57:47,48.4333,0.0833,46.4,100,100,2.57
109,Sao Joao Da Barra,BR,2021-02-05 23:53:01,-21.6403,-41.0511,76.28,94,97,7.05
110,Borger,NL,2021-02-05 23:57:47,52.9233,6.7931,36.0,95,99,5.99
111,Tiksi,RU,2021-02-05 23:54:14,71.6872,128.8694,-17.46,89,100,9.95
112,Port Lincoln,AU,2021-02-05 23:54:33,-34.7333,135.8667,64.78,76,90,15.86
113,Boralday,KZ,2021-02-05 23:57:47,43.3578,76.8594,26.6,86,75,4.47
114,Lebu,CL,2021-02-05 23:54:02,-37.6167,-73.65,59.61,89,3,5.64
115,Koslan,RU,2021-02-05 23:57:48,63.4564,48.8989,-9.96,88,100,10.63
116,Motygino,RU,2021-02-05 23:57:48,58.1831,94.7592,0.27,93,98,3.47
117,North Bend,US,2021-02-05 23:57:48,43.4065,-124.2243,53.01,93,90,0.96
118,Aklavik,CA,2021-02-05 23:54:39,68.2191,-135.0107,-32.8,75,20,3.44
119,Victoria,HK,2021-02-05 23:56:05,22.2855,114.1577,64.99,81,0,4.63
120,Ankang,CN,2021-02-05 23:57:48,32.68,109.0172,43.63,59,68,0.22
121,Savannah Bight,HN,2021-02-05 23:57:48,16.45,-85.85,84.2,70,1,3.44
122,Leshukonskoye,RU,2021-02-05 23:57:49,64.8989,45.7622,-10.14,87,94,10.96
123,Clyde River,CA,2021-02-05 23:57:49,70.4692,-68.5914,-14.8,76,90,11.5
124,Shahreza,IR,2021-02-05 23:57:49,32.0339,51.8794,46.2,55,98,4.88
125,Acapulco,MX,2021-02-05 23:57:21,16.8634,-99.8901,84.2,61,1,4.61
126,Rio Grande,BR,2021-02-05 23:57:49,-32.035,-52.0986,64.0,88,47,15.64
127,El Dorado,US,2021-02-05 23:57:49,38.7666,-120.5177,59.0,47,1,4.61
128,Peleduy,RU,2021-02-05 23:57:49,59.6289,112.7406,-3.95,90,99,4.45
129,Bertinoro,IT,2021-02-05 23:57:50,44.1469,12.1389,46.0,81,90,1.14
130,Ruteng,ID,2021-02-05 23:57:50,-8.6136,120.4721,65.52,100,99,2.91
131,Maceio,BR,2021-02-05 23:57:50,-9.6658,-35.7353,77.0,83,0,11.5
132,Cidreira,BR,2021-02-05 23:57:50,-30.1811,-50.2056,68.14,70,15,15.14
133,Ucluelet,CA,2021-02-05 23:57:50,48.9329,-125.5528,50.0,76,20,16.11
134,Tuatapere,NZ,2021-02-05 23:57:50,-46.1333,167.6833,67.48,65,74,5.19
135,Nantucket,US,2021-02-05 23:57:50,41.2835,-70.0995,41.0,100,90,5.75
136,Tual,ID,2021-02-05 23:57:51,-5.6667,132.75,83.73,77,99,20.29
137,Waipawa,NZ,2021-02-05 23:57:51,-41.4122,175.5153,63.0,77,90,12.66
138,Bereznik,RU,2021-02-05 23:57:51,62.8551,42.7072,-8.5,89,100,10.07
139,Chabahar,IR,2021-02-05 23:57:51,25.2919,60.643,65.89,64,1,5.28
140,Mar Del Plata,AR,2021-02-05 23:57:51,-38.0023,-57.5575,69.8,49,0,5.75
141,Kodiak,US,2021-02-05 23:57:51,57.79,-152.4072,39.2,70,40,9.22
142,Caravelas,BR,2021-02-05 23:57:51,-17.7125,-39.2481,80.2,80,97,14.56
143,Baherden,TM,2021-02-05 23:57:52,38.4362,57.4316,57.7,35,91,6.49
144,Shingu,JP,2021-02-05 23:57:52,33.7333,135.9833,50.0,66,75,2.3
145,Fort Nelson,CA,2021-02-05 23:54:51,58.8053,-122.7002,-13.0,64,20,6.91
146,Esperance,AU,2021-02-05 23:57:52,-33.8667,121.9,60.8,94,90,8.05
147,Namwala,ZM,2021-02-05 23:57:52,-15.7504,26.4384,66.34,97,57,2.21
148,Padang,ID,2021-02-05 23:54:32,-0.9492,100.3543,73.4,94,20,2.3
149,Velsk,RU,2021-02-05 23:54:15,61.0701,42.0983,-5.76,90,100,9.08
150,East Wenatchee Bench,US,2021-02-05 23:53:47,47.4257,-120.2812,53.6,40,1,26.46
